O51720.45,H51741.90,L51675.90,C51704.25
O51702.90,H51702.90,L51590.25,C51681.70
O51687.75,H51756.00,L51658.40,C51710.30
O51708.60,H51728.45,L51680.75,C51680.75
O51683.15,H51739.75,L51682.25,C51696.95
O51692.25,H51779.60,L51674.65,C51772.45
O51783.90,H51797.35,L51729.05,C51777.95
O51773.20,H51864.50,L51741.80,C51782.30
O51784.20,H51860.25,L51772.95,C51844.60
O51845.05,H51856.35,L51825.55,C51832.55
O51832.15,H51858.40,L51815.50,C51848.95
O51848.90,H51855.25,L51815.35,C51824.55
O51824.70,H51855.40,L51797.75,C51818.65
O51817.70,H51873.60,L51802.75,C51850.45
O51851.45,H51874.70,L51800.35,C51853.55
O51853.75,H51871.00,L51772.25,C51800.15
O51799.85,H51825.45,L51787.80,C51800.00
O51801.65,H51824.05,L51779.95,C51781.95
O51783.65,H51790.75,L51686.70,C51725.35
O51724.45,H51765.10,L51700.80,C51751.10
O51748.80,H51756.95,L51712.90,C51728.15
O51735.25,H51735.25,L51652.20,C51711.35
O51713.50,H51747.00,L51667.10,C51697.20
O51698.80,H51704.30,L51639.10,C51644.00
O51645.10,H51651.55,L51422.70,C51477.90
O51469.95,H51487.05,L51236.75,C51254.45
O51252.45,H51356.10,L51243.80,C51321.70
O51324.80,H51353.50,L51235.65,C51300.75
O51300.70,H51424.45,L51290.30,C51381.65
O51381.15,H51397.25,L51325.90,C51358.90
O51358.45,H51365.90,L51280.10,C51292.20
O51292.15,H51298.05,L51127.35,C51173.85
O51175.05,H51281.60,L51169.15,C51252.25
O51252.95,H51275.70,L51206.75,C51254.15
O51254.50,H51289.65,L51206.70,C51209.25
O51209.80,H51215.45,L51141.25,C51150.90
O51151.05,H51196.45,L51144.60,C51179.50
O51178.30,H51364.25,L51162.05,C51225.85
O51226.20,H51267.55,L51188.20,C51259.05
O51260.00,H51299.95,L51217.60,C51218.70
O51219.85,H51235.85,L51192.90,C51218.05
O51218.20,H51302.50,L51210.50,C51222.15
O51224.45,H51296.80,L51210.55,C51230.55
