O51100.15,H51130.00,L51062.60,C51115.00
O51115.05,H51214.50,L51040.00,C51043.60
O51046.20,H51046.20,L50922.55,C50930.00
O50922.85,H51049.00,L50917.25,C51018.25
O51022.00,H51184.00,L51005.00,C51071.00
O51062.25,H51076.95,L50955.00,C50960.00
O50962.15,H51009.85,L50900.80,C50975.00
O50965.00,H50978.25,L50925.00,C50930.00
O50942.00,H50953.00,L50880.35,C50885.05
O50894.05,H50923.45,L50810.75,C50810.75
O50810.00,H50899.00,L50810.00,C50883.05
O50879.20,H50897.90,L50850.00,C50873.15
O50874.35,H50925.95,L50829.90,C50887.95
O50886.80,H50925.00,L50875.00,C50891.50
O50895.45,H50928.00,L50834.00,C50834.00
O50831.40,H50909.10,L50831.05,C50894.45
O50903.05,H50924.90,L50862.90,C50869.60
O50864.65,H50906.65,L50860.55,C50878.40
O50893.50,H50923.70,L50860.00,C50863.00
O50863.05,H50880.00,L50832.00,C50850.00
O50852.80,H50855.05,L50797.65,C50839.00
O50840.30,H50879.95,L50828.05,C50879.95
O50878.00,H50973.35,L50857.75,C50925.00
O50931.70,H50939.00,L50878.05,C50896.15
O50896.75,H50930.00,L50863.65,C50915.25
O50927.90,H50927.90,L50868.65,C50895.95
O50904.95,H50909.90,L50842.20,C50853.85
O50843.75,H50883.65,L50819.00,C50850.00
O50846.00,H50877.70,L50824.40,C50824.40
O50827.00,H50872.25,L50815.05,C50860.10
O50874.25,H50880.90,L50824.20,C50865.55
O50869.75,H50874.05,L50823.50,C50829.50
O50829.45,H50870.75,L50807.20,C50848.55
O50861.65,H50865.00,L50830.00,C50864.00
O50862.20,H50879.55,L50835.00,C50850.00
O50852.00,H50870.00,L50836.90,C50843.15
O50855.00,H50880.95,L50825.00,C50831.00
O50830.00,H50948.00,L50827.00,C50877.35
O50867.05,H50960.00,L50867.05,C50960.00
O50958.80,H51018.85,L50928.70,C50951.15
O50951.50,H50993.15,L50880.00,C50928.30
O50933.45,H50970.00,L50910.00,C50926.40
